Experiment,Exp_Genotype,Vial Number,Genotype,Replicate,Treatment,Wolbachia,Date,Day,Time,Media,Pupae,Experimenter,Observations
fDEV008,fDEV008_129,14,129,1,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_129,14,129,1,EtOH,0,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_129,14,129,1,EtOH,0,7/11/2019,9,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_129,14,129,1,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_129,14,129,1,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_129,14,129,1,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_129,14,129,1,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_129,14,129,1,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_129,14,129,1,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_129,14,129,1,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_129,14,129,1,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/10/2019,8,1400,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_153,117,153,1,EtOH,1,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_217,34,217,1,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_217,34,217,1,EtOH,0,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_217,34,217,1,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_217,34,217,1,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_217,34,217,1,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_217,34,217,1,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_217,34,217,1,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_217,34,217,1,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_217,34,217,1,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_217,34,217,1,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_217,34,217,1,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,2 bands of color
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_228,146,228,1,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_321,101,321,1,EtOH,1,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_321,101,321,1,EtOH,1,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_321,101,321,1,EtOH,1,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_321,101,321,1,EtOH,1,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_321,101,321,1,EtOH,1,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_321,101,321,1,EtOH,1,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_321,101,321,1,EtOH,1,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_321,101,321,1,EtOH,1,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_321,101,321,1,EtOH,1,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_321,101,321,1,EtOH,1,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_321,101,321,1,EtOH,1,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/12/2019,10,1500,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_Canton-S,41,Canton-S,1,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,2 bands of color
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_W1118,116,W1118,1,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_38,80,38,2,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_45,140,45,2,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_83,67,83,2,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/12/2019,10,1500,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_91,48,91,2,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_129,144,129,2,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_129,144,129,2,EtOH,0,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_129,144,129,2,EtOH,0,7/10/2019,8,1400,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_129,144,129,2,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_129,144,129,2,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_129,144,129,2,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_129,144,129,2,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_129,144,129,2,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_129,144,129,2,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_129,144,129,2,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_153,159,153,2,EtOH,1,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_153,159,153,2,EtOH,1,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_153,159,153,2,EtOH,1,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_153,159,153,2,EtOH,1,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_153,159,153,2,EtOH,1,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_153,159,153,2,EtOH,1,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_153,159,153,2,EtOH,1,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_153,159,153,2,EtOH,1,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_153,159,153,2,EtOH,1,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_153,159,153,2,EtOH,1,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_217,114,217,2,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_217,114,217,2,EtOH,0,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_217,114,217,2,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_217,114,217,2,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_217,114,217,2,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_217,114,217,2,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_217,114,217,2,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_217,114,217,2,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_217,114,217,2,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_217,114,217,2,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_217,114,217,2,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,2 bands of color
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_228,2,228,2,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_321,147,321,2,EtOH,1,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_321,147,321,2,EtOH,1,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_321,147,321,2,EtOH,1,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_321,147,321,2,EtOH,1,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_321,147,321,2,EtOH,1,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
